Frequency,MOSFET current: Magnitude,MOSFET current: Phase,Diode current: Magnitude,Diode current: Phase
0.000,0.521,0.000,6.157,0.000
100000.000,0.988,-0.779,2.632,2.559
200000.000,0.837,-1.560,2.156,1.668
300000.000,0.615,-2.349,1.552,0.853
400000.000,0.363,3.120,0.904,0.042
500000.000,0.125,2.167,0.305,-0.879
600000.000,0.077,-1.046,0.194,2.048
700000.000,0.190,-2.103,0.484,1.047
800000.000,0.226,-2.936,0.574,0.224
900000.000,0.193,2.533,0.488,-0.582
1000000.000,0.114,1.683,0.285,-1.412
1100000.000,0.023,0.237,0.051,-2.783
1200000.000,0.071,-2.651,0.180,0.467
1300000.000,0.123,2.738,0.311,-0.401
1400000.000,0.132,1.918,0.335,-1.211
1500000.000,0.103,1.095,0.260,-2.020
1600000.000,0.048,0.183,0.121,-2.900
1700000.000,0.019,-2.889,0.045,0.153
1800000.000,0.067,2.143,0.170,-1.011
1900000.000,0.093,1.299,0.236,-1.840
2000000.000,0.090,0.482,0.226,-2.645
2100000.000,0.060,-0.358,0.152,2.816
2200000.000,0.018,-1.501,0.042,1.740
2300000.000,0.031,1.619,0.077,-1.564
2400000.000,0.063,0.686,0.158,-2.462
2500000.000,0.074,-0.139,0.187,3.008
2600000.000,0.063,-0.959,0.158,2.201
2700000.000,0.034,-1.840,0.086,1.346
2800000.000,0.007,1.818,0.016,-1.430
2900000.000,0.037,0.100,0.094,-3.064
3000000.000,0.057,-0.759,0.144,2.380
3100000.000,0.059,-1.577,0.149,1.574
3200000.000,0.043,-2.409,0.109,0.758
3300000.000,0.016,2.866,0.040,-0.202
3400000.000,0.016,-0.369,0.040,2.712
3500000.000,0.040,-1.368,0.101,1.761
3600000.000,0.051,-2.199,0.129,0.944
3700000.000,0.046,-3.017,0.116,0.138
3800000.000,0.028,2.406,0.070,-0.701
3900000.000,0.005,0.609,0.011,-2.446
4000000.000,0.023,-1.939,0.059,1.172
4100000.000,0.040,-2.818,0.101,0.317
4200000.000,0.044,2.646,0.111,-0.490
4300000.000,0.035,1.820,0.087,-1.302
4400000.000,0.016,0.881,0.039,-2.204
4500000.000,0.009,-2.297,0.022,0.758
4600000.000,0.028,2.863,0.070,-0.297
4700000.000,0.038,2.023,0.097,-1.120
4800000.000,0.037,1.206,0.093,-1.925
4900000.000,0.024,0.360,0.061,-2.753
5000000.000,0.006,-0.923,0.014,2.331
5100000.000,0.015,2.316,0.039,-0.866
5200000.000,0.030,1.407,0.076,-1.744
5300000.000,0.035,0.584,0.088,-2.554
5400000.000,0.029,-0.238,0.074,2.920
5500000.000,0.015,-1.135,0.038,2.051
5600000.000,0.005,2.217,0.011,-1.043
5700000.000,0.020,0.813,0.051,-2.352
5800000.000,0.030,-0.037,0.076,3.100
5900000.000,0.031,-0.855,0.078,2.294
6000000.000,0.022,-1.691,0.055,1.474
6100000.000,0.007,-2.764,0.018,0.461
6200000.000,0.010,0.308,0.026,-2.888
6300000.000,0.023,-0.650,0.058,2.478
