"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price NZD"
"1","2","565-4474-ND","ESMR401VSN391MA25S","CAP ALUM 390UF 20% 400V SNAP","Cin - 2.05A @ 120Hz , 400V","2","0","12.47000","24.94"
"2","4","495-3058-ND","B57238S0150M000","ICL 15 OHM 20% 4.4A 16MM","NTC 16MM 700UF , 15OHM","4","0","2.32000","9.28"
"3","1","3M10226-ND","3/4-5-1205","TAPE FILM AMBER 3/4""X 5YDS","INSULATION TAPE","1","0","41.21000","41.21"
"4","4","IPA70R360P7SXKSA1-ND","IPA70R360P7SXKSA1","MOSFET N-CH 700V 12.5A TO220","MAIN MOSFET","4","0","3.40000","13.60"
"5","2","732-9228-1-ND","860040578017","CAP ALUM 1500UF 20% 35V RADIAL","Cout - 35V , 3A @100kHz, 1.5mF","2","0","4.25000","8.50"
"6","6","A142823CT-ND","ROX5SSJ9K1","RES 9.1K OHM 5% 5W AXIAL","RCD resistor - 9.1k,5W,750V (need 3 in parallel)","6","0","1.13000","6.78"
"7","4","31-FUS1JE-7CT-ND","FUS1JE-7","DIODE GEN PURP 600V 1A F1A","RCD diode - 600V , 1.7V , Trr = 75ns","4","0","0.64000","2.56"
"8","2","1801-GBU406-ND","GBU406","BRIDGE RECT 1PHASE 800V 4A GBU","Bridge rectifier","2","0","2.22000","4.44"
"9","4","C3D02060A-ND","C3D02060A","DIODE SIL CARB 600V 5A TO220-2","Output diode - 600V , Vf = 1.7V , SiC , T0-220","4","0","2.82000","11.28"
"10","4","AE10898-ND","V5630-T","HEATSINK ALUM ANOD","MOSFET and DIODE HEATSINK - 	 15.00°C/W","4","0","0.82000","3.28"
"11","2","1189-3666-ND","35ZLQ1500MEFC12.5X30","CAP ALUM 1500UF 20% 35V RADIAL","Output cap , 1.5mF , 35V , Irms = 3.68A @ 100khz","2","0","2.90000","5.80"
"12","6","507-1870-1-ND","RSTA 3.15 AMMO","FUSE BRD MNT 3.15A 250VAC/63VDC","Input fuse","6","0","0.64600","3.88"
"13","4","MOV-07D361K-ND","MOV-07D361K","VARISTOR 360V 1.2KA DISC 7MM","MOV - 595V @ 10A for 20-30us","4","0","0.61000","2.44"
"14","4","VR68J200KCT-ND","VR68000002003JAC00","RES 200K OHM 1W 5% AXIAL","Bleed resistor- 200kR , 1W , 10kV","4","0","1.38000","5.52"
"15","3","495-5464-ND","B66362B1014T001","BOBBIN COIL FORMER ETD 34X17X11","ETD34 - Bobbin Horizontal","3","0","4.11000","12.33"
"16","8","495-5463-ND","B66362A2000X000","YOKE ETD 34 X 17 X 11","ETD34 Yoke","8","0","0.97000","7.76"
"17","2","495-5462-ND","B66361G0000X187","FERRITE CORE ETD N87 1PC","ETD34 - Not Gapped","2","0","2.77000","5.54"
"18","2","495-5457-ND","B66361G1000X187","FERRITE CORE ETD N87 1PC","ETD34 - 1mm gap","2","0","3.77000","7.54"
"19","4","SFH615A-4XSMCT-ND","SFH615A-4XSMT/R","OPTOISOLATOR 5.3KV TRANS 4SMD","optocoupler SMD","4","0","0.91000","3.64"
