Altium Designer Pick and Place Locations
C:\Users\artur\Desktop\150W-24V-Flyback-Converter-in-CCM\24V_150W_100kHz_CCM\FlybackV1.0\Project Outputs for FlybackV1.0\BOM_AND_PICKNPLACE\Pick Place for FlybackV1.0.csv

========================================================================================================================
File Design Information:

Date:       07/01/23
Time:       00:54
Revision:   beb427edf4e5062aecc9c524ff5f2290eba5da1e
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"NETTIE2","NETTIE","BottomLayer","NETTIE","52.8407","11.2964","0","NETTIE"
"NETTIE1","NETTIE","BottomLayer","NETTIE","140.1818","9.9313","270","NETTIE"
"TP_SGND","TESTPOINT_BD2.5mm_MHD1mm","TopLayer","Test_Point_BD2.5mm_MHD_1mm","101.1476","13.9770","90","Black PC Test Point, Miniature Phosphor Bronze Silver Plating Through Hole Mounting Type"
"MH4","MOUNTINGHOLE_HDM3_OD3mm","TopLayer","STANDOFF_HDM3_OD5mm","144.0000","54.0000","0",""
"MH3","MOUNTINGHOLE_HDM3_OD3mm","TopLayer","STANDOFF_HDM3_OD5mm","144.0000","3.0000","0",""
"MH2","MOUNTINGHOLE_HDM3_OD3mm","TopLayer","STANDOFF_HDM3_OD5mm","12.3500","3.0000","0",""
"MH1","MOUNTINGHOLE_HDM3_OD3mm","TopLayer","STANDOFF_HDM3_OD5mm","28.7500","54.0000","0",""
"TP_SGND","TESTPOINT_BD2.5mm_MHD1mm","TopLayer","Test_Point_BD2.5mm_MHD_1mm","34.5500","6.3000","90","Black PC Test Point, Miniature Phosphor Bronze Silver Plating Through Hole Mounting Type"
"TP_SS","TESTPOINT_BD2.5mm_MHD1mm","TopLayer","Test_Point_BD2.5mm_MHD_1mm","38.0500","4.3000","90","Black PC Test Point, Miniature Phosphor Bronze Silver Plating Through Hole Mounting Type"
"TP_MODB","TESTPOINT_BD2.5mm_MHD1mm","TopLayer","Test_Point_BD2.5mm_MHD_1mm","135.8000","6.3000","90","Black PC Test Point, Miniature Phosphor Bronze Silver Plating Through Hole Mounting Type"
"TP_Vout","TESTPOINT_BD2.5mm_MHD1mm","TopLayer","Test_Point_BD2.5mm_MHD_1mm","136.0500","1.8000","90","Black PC Test Point, Miniature Phosphor Bronze Silver Plating Through Hole Mounting Type"
"TP_12V-AUX","TESTPOINT_BD2.5mm_MHD1mm","TopLayer","Test_Point_BD2.5mm_MHD_1mm","80.1931","6.1064","90","Black PC Test Point, Miniature Phosphor Bronze Silver Plating Through Hole Mounting Type"
"TP_SGND","TESTPOINT_BD2.5mm_MHD1mm","TopLayer","Test_Point_BD2.5mm_MHD_1mm","79.5000","11.2500","90","Black PC Test Point, Miniature Phosphor Bronze Silver Plating Through Hole Mounting Type"
"TP_COMP_ACIN","TESTPOINT_BD2.5mm_MHD1mm","TopLayer","Test_Point_BD2.5mm_MHD_1mm","47.8000","5.8000","90","Black PC Test Point, Miniature Phosphor Bronze Silver Plating Through Hole Mounting Type"
"R38","RES_22K_0805_0.125W_1%","BottomLayer","RES_0805","51.0493","4.4946","180","125mW Thick Film Resistors 150V ±100ppm/? ±1% -55?~+155? 22kO 0805  Chip Resistor - Surface Mount ROHS"
"R32","RES_22R_0805_0.125W_1%","BottomLayer","RES_0805","51.0493","1.9946","180","125mW Thick Film Resistors 150V ±100ppm/? ±1% -55?~+155? 22O 0805  Chip Resistor - Surface Mount ROHS"
"D7","LED_GREEN_0805_25mA","BottomLayer","LED_0805","86.0503","4.0000","180","Green/Yellow-Green 0805  Light Emitting Diodes (LED) ROHS"
